WKT,﻿Sample,Longitude,Latitude,Species,Population
"POINT (-110.8269546 32.320433)",NOCA_003,-110.8269546,32.320433,NOCA,Urban
"POINT (-110.7285254 32.24439399)",NOCA_004,-110.7285254,32.24439399,NOCA,Urban
"POINT (-110.9844376 32.3503564)",NOCA_006,-110.9844376,32.3503564,NOCA,Urban
"POINT (-111.0227463 32.33458048)",NOCA_008,-111.0227463,32.33458048,NOCA,Urban
"POINT (-111.0702132 32.38545034)",NOCA_012,-111.0702132,32.38545034,NOCA,Urban
"POINT (-110.7890613 32.30271469)",NOCA_013,-110.7890613,32.30271469,NOCA,Urban
"POINT (-111.0702132 32.38545034)",PYRR_003,-111.0702132,32.38545034,PYRR,Urban
"POINT (-111.0702132 32.38545034)",PYRR_004,-111.0702132,32.38545034,PYRR,Urban
"POINT (-110.7740231 32.22790627)",PYRR_006,-110.7740231,32.22790627,PYRR,Urban
"POINT (-110.844586 32.31650342)",PYRR_007,-110.844586,32.31650342,PYRR,Urban
"POINT (-110.8269546 32.320433)",PYRR_009,-110.8269546,32.320433,PYRR,Urban
"POINT (-110.7676043 32.19270072)",PYRR_012,-110.7676043,32.19270072,PYRR,Urban
"POINT (-111.93 34.671)",UWBM_100619,-111.93,34.671,NOCA,Rural
"POINT (-111.93 34.671)",UWBM_100620,-111.93,34.671,NOCA,Rural
"POINT (-111.93 34.671)",UWBM_100621,-111.93,34.671,NOCA,Rural
"POINT (-111.328 31.466)",UWBM_103345,-111.328,31.466,NOCA,Rural
"POINT (-111.328 31.466)",UWBM_103346,-111.328,31.466,PYRR,Rural
"POINT (-109.1802 32.207)",UWBM77548,-109.1802,32.207,PYRR,Rural
"POINT (-109.18 32.207)",UWBM_77718,-109.18,32.207,PYRR,Rural
"POINT (-109.18 32.207)",UWBM_77780,-109.18,32.207,PYRR,Rural
"POINT (-109.1802 32.207)",UWBM_77781,-109.1802,32.207,PYRR,Rural
"POINT (-109.217 32.867)",UWBM_77856,-109.217,32.867,NOCA,Rural
"POINT (-109.183 32.867)",UWBM_77978,-109.183,32.867,NOCA,Rural
"POINT (-112.70769 32.05683)",MSB_25201,-112.70769,32.05683,PYRR,Rural
