GO_Term,Name,Genes
GO:0007519,skeletal muscle tissue development,"MYF5,MYF6,DMD"
GO:0060538,skeletal muscle organ development,"MYF5,MYF6,DMD"
GO:0007517,muscle organ development,"MYF5,MYF6,DMD"
GO:0034332,adherens junction organization,"CDH11,CDH18,CDH20,CDH9"
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,"CDH11,ATRN,CDH18,SDK1,CNTN4,CDH11,CDH20,MEGF11,SDK1,CDH9"
GO:0034329,cell junction assembly,"CDH11,CDH18,SDK1,CDH11,CDH20,NLGN3,CDH9"
GO:0034330,cell junction organization,"CDH11,CDH18,SDK1,CNTN4,CDH11,CDH20,TJP3,SDK1,NLGN3,ERC2,CDH9"
GO:0098609,cell-cell adhesion,"DCHS1,CDH11,ATRN,CDH18,SDK1,CNTN4,CDH11,CDH20,MEGF11,TJP3,SDK1,NLGN3,CDON,CDH9"
GO:0000902,cell morphogenesis,"UNC5C,SLITRK1,EPHA10,CDH11,TRIO,EPHB2,CDH18,SLIT3,UNCSC,CNTN4,CDH20,FRY,CDH9"
GO:0007267,cell-cell signaling,"GNAI2,BCL9,LRP2,GJB1,SYN2,GRIA2,GJA6,GLRB,FCHSD2,GRID,HTR7,DMD,GJA5,NLGN3,ERC2"
GO:1901564,organonitrogen compound metabolic process,"STT3A,TRIM2,EPHA10,CHPF,SRBD1,CERS6,EPHB2,ZDHHC20,TG,VRK1,AGBL1,MRPL57,EIF2AK4,MAP4K3,GSTZ1,ENPP2,AK4,FBXO32,DPY19L3,EPHB2,RPS6KA2,EEFSEC,PSMD14,HECW1,ANKZF1,CHEK1,MGAT5B"
