GO_Term,Name,Genes
GO:0070527,platelet aggregation,"FGA,FGB"
GO:0072376,protein activation cascade,"FGA,FGB"
GO:0030195,negative regulation of blood coagulation,"FGA,FGB"
GO:0030168,platelet activation,"FGA,FGB"
GO:0050819,negative regulation of coagulation,"FGA,FGB"
GO:0034109,homotypic cell-cell adhesion,"FGA,FGB"
GO:0007599,hemostasis,"FGA,FGB"
GO:0007596,blood coagulation,"FGA,FGB"
GO:0050817,coagulation,"FGA,FGB"
GO:0032102,negative regulation of response to external stimulus,"SUSD4,FGA,FGB,CACTIN,PPARG"
GO:0007519,skeletal muscle tissue development,"MYF5,MYF6,DMD"
GO:0060538,skeletal muscle organ development,"MYF5,MYF6,DMD"
GO:0007517,muscle organ development,"MYF5,MYF6,DMD"
GO:0060537,muscle tissue development,"MYF5,MYF6,DMD,SGCZ"
GO:0034329,cell junction assembly,"CDH11,CDH18,SDK1,CDH20,CLDN23,NLGN3,CDH9"
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,"CDH11,ATRN,CDH18,SDK1,CNTN4,CDH20,MEGF11"
GO:0098609,cell-cell adhesion,"DCHS1,FGA,CDH11,ATRN,CDH18,SDK1,CNTN4,CDH11,CDH20,FGB,MEGF11,TJP3,SDK1,NLGN3,CDON,ITGA9,FGA,CDH9"
GO:0007155,cell adhesion,"DCHS1,FGA,CDH11,ATRN,CDH18,SDK1,CNTN4,CDH11,CDH20,FGB,MEGF11,TJP3,SDK1,NLGN3,CDON,ITGA9,FGA,CDH9,PCDH15,CLDN23"
