GO_Term,Name,Genes
GO:0070527,platelet aggregation,"FGA,FGB"
GO:0072376,protein activation cascade,"FGA,FGB"
GO:0030195,negative regulation of blood coagulation,"FGA,FGB"
GO:0030168,platelet activation,"FGA,FGB"
GO:0050819,negative regulation of coagulation,"FGA,FGB"
GO:0034109,homotypic cell-cell adhesion,"FGA,FGB"
GO:0007599,hemostasis,"FGA,FGB"
GO:0007596,blood coagulation,"FGA,FGB"
GO:0050817,coagulation,"FGA,FGB"
GO:1903034,regulation of response to wounding,"FGA,FGB"
GO:0097720,calcineurin-mediated signaling,"PPP3R1,PPP3CA,NFATC1"
GO:0061041,regulation of wound healing,"FGA,FGB"
GO:0050818,regulation of coagulation,"FGA,FGB"
GO:0032102,negative regulation of response to external stimulus,"FGA,FGB,SUSD4,PPARG"
GO:0022409,positive regulation of cell-cell adhesion,"FGA,FGB"
GO:0006298,mismatch repair,"MSH2,MSH6"
GO:0050878,regulation of body fluid levels,"FGA,FGB"
GO:0042060,wound healing,"FGA,FGB"
GO:0009611,response to wounding,"FGA,FGB"
GO:0001775,cell activation,"FGA,FGB"
GO:0032101,regulation of response to external stimulus,"FGA,FGB,SUSD4,PPARG,TLR5"
GO:0008033,tRNA processing,"TSEN2,TRMT61B,TRMT9B,CDKAL1,TSEN2"
GO:0080134,regulation of response to stress,"FGA,FGB,SUSD4,PPARG,TLR5"
GO:0006399,tRNA metabolic process,"TSEN2,TRMT61B,TRMT9B,CDKAL1,TSEN2,GATB,DTD1"
