"GO_term","Background_noca","Observed_noca","Expected_noca","Direction_noca","Fold_Enrichment_noca","P_value_noca","NA_noca","NA.1_noca","NA.2_noca","NA.3_noca","NA.4_noca","NA.5_noca","NA.6","Background_pyrr","Observed_pyrr","Expected_pyrr","Direction_pyrr","Fold_Enrichment_pyrr","P_value_pyrr","NA_pyrr","NA.1_pyrr","NA.2_pyrr","NA.3_pyrr","NA.4_pyrr","NA.5_pyrr","fisher_p","log2_fold_change","fdr_p"
"platelet aggregation (GO:0070527)",5,4,0.21,"+",18.86,1.55e-05,0.0322,5,0,0.14,"-"," < 0.01",1,5,0,0.27,"-",0.01,1,5,0,0.14,"-"," < 0.01",1,0.0476190476190476,10.880969774879,0.548571428571429
"protein activation cascade (GO:0072376)",5,4,0.21,"+",18.86,1.55e-05,0.0161,5,0,0.14,"-"," < 0.01",1,5,0,0.27,"-",0.01,1,5,0,0.14,"-"," < 0.01",1,0.0476190476190476,10.880969774879,0.548571428571429
"negative regulation of blood coagulation (GO:0030195)",4,3,0.17,"+",17.68,0.000294,0.0764,4,0,0.11,"-"," < 0.01",1,4,0,0.22,"-",0.01,1,4,0,0.11,"-"," < 0.01",1,0.142857142857143,10.7877583787007,0.548571428571429
"platelet activation (GO:0030168)",6,4,0.25,"+",15.72,4.48e-05,0.0233,6,0,0.17,"-"," < 0.01",1,6,0,0.33,"-",0.01,1,6,0,0.17,"-"," < 0.01",1,0.0606060606060606,10.618241331742,0.548571428571429
"negative regulation of coagulation (GO:0050819)",5,3,0.21,"+",14.15,0.000712,0.106,5,0,0.14,"-"," < 0.01",1,5,0,0.27,"-",0.01,1,5,0,0.14,"-"," < 0.01",1,0.166666666666667,10.4664421773854,0.548571428571429
"homotypic cell-cell adhesion (GO:0034109)",7,4,0.3,"+",13.47,0.000101,0.0351,7,0,0.2,"-"," < 0.01",1,7,0,0.38,"-",0.01,1,7,0,0.2,"-"," < 0.01",1,0.0699300699300699,10.3953899802755,0.548571428571429
"hemostasis (GO:0007599)",9,4,0.38,"+",10.48,0.00034,0.0786,9,0,0.25,"-"," < 0.01",1,9,0,0.49,"-",0.01,1,9,0,0.25,"-"," < 0.01",1,0.0823529411764706,10.0332788769081,0.548571428571429
"blood coagulation (GO:0007596)",9,4,0.38,"+",10.48,0.00034,0.0707,9,0,0.25,"-"," < 0.01",1,9,0,0.49,"-",0.01,1,9,0,0.25,"-"," < 0.01",1,0.0823529411764706,10.0332788769081,0.548571428571429
"coagulation (GO:0050817)",9,4,0.38,"+",10.48,0.00034,0.0643,9,0,0.25,"-"," < 0.01",1,9,0,0.49,"-",0.01,1,9,0,0.25,"-"," < 0.01",1,0.0823529411764706,10.0332788769081,0.548571428571429
"regulation of response to wounding (GO:1903034)",7,3,0.3,"+",10.1,0.00234,0.231,7,0,0.2,"-"," < 0.01",1,7,0,0.38,"-",0.01,1,7,0,0.2,"-"," < 0.01",1,0.192307692307692,9.97999545818915,0.548571428571429
"calcineurin-mediated signaling (GO:0097720)",7,3,0.3,"+",10.1,0.00234,0.221,7,0,0.2,"-"," < 0.01",1,7,2,0.38,"+",5.26,0.0516,7,1,0.2,"+","5.09",0.181,1,0.941220456911343,1
"regulation of wound healing (GO:0061041)",7,3,0.3,"+",10.1,0.00234,0.211,7,0,0.2,"-"," < 0.01",1,7,0,0.38,"-",0.01,1,7,0,0.2,"-"," < 0.01",1,0.192307692307692,9.97999545818915,0.548571428571429
