PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
negative regulation of innate immune response (GO:0045824)	3	1	0.01	+	69.06	1.44E-02
endothelial cell differentiation (GO:0045446)	4	1	0.02	+	51.8	1.92E-02
tissue homeostasis (GO:0001894)	4	1	0.02	+	51.8	1.92E-02
"mRNA cis splicing, via spliceosome (GO:0045292)"	4	1	0.02	+	51.8	1.92E-02
anatomical structure homeostasis (GO:0060249)	4	1	0.02	+	51.8	1.92E-02
regulation of muscle system process (GO:0090257)	9	2	0.04	+	46.04	8.07E-04
ubiquinone biosynthetic process (GO:0006744)	5	1	0.02	+	41.44	2.39E-02
postsynapse organization (GO:0099173)	5	1	0.02	+	41.44	2.39E-02
Golgi to vacuole transport (GO:0006896)	6	1	0.03	+	34.53	2.86E-02
skeletal muscle tissue development (GO:0007519)	13	2	0.06	+	31.87	1.73E-03
positive regulation of secretion (GO:0051047)	7	1	0.03	+	29.6	3.33E-02
positive regulation of secretion by cell (GO:1903532)	7	1	0.03	+	29.6	3.33E-02
regulation of epithelial cell differentiation (GO:0030856)	7	1	0.03	+	29.6	3.33E-02
synapse assembly (GO:0007416)	22	3	0.11	+	28.25	1.54E-04
skeletal muscle organ development (GO:0060538)	15	2	0.07	+	27.62	2.31E-03
hexose biosynthetic process (GO:0019319)	8	1	0.04	+	25.9	3.80E-02
centriole assembly (GO:0098534)	9	1	0.04	+	23.02	4.26E-02
centriole replication (GO:0007099)	9	1	0.04	+	23.02	4.26E-02
muscle organ development (GO:0007517)	19	2	0.09	+	21.81	3.72E-03
glucose 6-phosphate metabolic process (GO:0051156)	10	1	0.05	+	20.72	4.72E-02
apoptotic mitochondrial changes (GO:0008637)	10	1	0.05	+	20.72	4.72E-02
centrosome duplication (GO:0051298)	10	1	0.05	+	20.72	4.72E-02
protein N-linked glycosylation via asparagine (GO:0018279)	10	1	0.05	+	20.72	4.72E-02
membrane assembly (GO:0071709)	11	1	0.05	+	18.83	5.19E-02
negative regulation of defense response (GO:0031348)	11	1	0.05	+	18.83	5.19E-02
regulation of system process (GO:0044057)	35	3	0.17	+	17.76	6.27E-04
calcium ion import (GO:0070509)	12	1	0.06	+	17.27	5.64E-02
multicellular organismal-level homeostasis (GO:0048871)	12	1	0.06	+	17.27	5.64E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	26	2	0.13	+	15.94	6.91E-03
regulation of blood pressure (GO:0008217)	14	1	0.07	+	14.8	6.55E-02
muscle tissue development (GO:0060537)	30	2	0.14	+	13.81	9.14E-03
mitochondrial membrane organization (GO:0007006)	15	1	0.07	+	13.81	7.00E-02
negative regulation of immune system process (GO:0002683)	16	1	0.08	+	12.95	7.45E-02
negative regulation of response to external stimulus (GO:0032102)	16	1	0.08	+	12.95	7.45E-02
glucose metabolic process (GO:0006006)	17	1	0.08	+	12.19	7.90E-02
centrosome cycle (GO:0007098)	17	1	0.08	+	12.19	7.90E-02
muscle cell development (GO:0055001)	35	2	0.17	+	11.84	1.23E-02
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	1	0.09	+	11.51	8.35E-02
post-Golgi vesicle-mediated transport (GO:0006892)	37	2	0.18	+	11.2	1.37E-02
protein localization to cell junction (GO:1902414)	19	1	0.09	+	10.9	8.79E-02
carbohydrate biosynthetic process (GO:0016051)	19	1	0.09	+	10.9	8.79E-02
cell junction assembly (GO:0034329)	59	3	0.28	+	10.53	2.87E-03
blood circulation (GO:0008015)	40	2	0.19	+	10.36	1.59E-02
lysosomal transport (GO:0007041)	20	1	0.1	+	10.36	9.23E-02
epithelial cell differentiation (GO:0030855)	20	1	0.1	+	10.36	9.23E-02
muscle cell differentiation (GO:0042692)	41	2	0.2	+	10.11	1.66E-02
microtubule organizing center organization (GO:0031023)	21	1	0.1	+	9.87	9.67E-02
synapse organization (GO:0050808)	64	3	0.31	+	9.71	3.61E-03
circulatory system process (GO:0003013)	43	2	0.21	+	9.64	1.82E-02
inflammatory response (GO:0006954)	22	1	0.11	+	9.42	1.01E-01
regulation of innate immune response (GO:0045088)	23	1	0.11	+	9.01	1.05E-01
membrane depolarization (GO:0051899)	23	1	0.11	+	9.01	1.05E-01
hexose metabolic process (GO:0019318)	24	1	0.12	+	8.63	1.10E-01
regulation of response to biotic stimulus (GO:0002831)	25	1	0.12	+	8.29	1.14E-01
Golgi to plasma membrane transport (GO:0006893)	25	1	0.12	+	8.29	1.14E-01
regulation of exocytosis (GO:0017157)	26	1	0.13	+	7.97	1.18E-01
synaptic vesicle endocytosis (GO:0048488)	26	1	0.13	+	7.97	1.18E-01
cell junction organization (GO:0034330)	106	4	0.51	+	7.82	1.69E-03
synaptic vesicle recycling (GO:0036465)	27	1	0.13	+	7.67	1.23E-01
