




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	noca.all.genenames_filtered.txt (Gallus gallus)
Reference List:	background_genelist.full.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.all.genenames_filtered.txt (725)	noca.all.genenames_filtered.txt (expected)	noca.all.genenames_filtered.txt (over/under)	noca.all.genenames_filtered.txt (fold Enrichment)	noca.all.genenames_filtered.txt (raw P-value)
platelet aggregation (GO:0070527)	5	4	.28	+	14.05	4.98E-05
protein activation cascade (GO:0072376)	5	4	.28	+	14.05	4.98E-05
negative regulation of blood coagulation (GO:0030195)	4	3	.23	+	13.17	7.04E-04
platelet activation (GO:0030168)	6	4	.34	+	11.71	1.43E-04
peripheral nervous system development (GO:0007422)	3	2	.17	+	11.71	9.35E-03
negative regulation of innate immune response (GO:0045824)	3	2	.17	+	11.71	9.35E-03
negative regulation of coagulation (GO:0050819)	5	3	.28	+	10.54	1.69E-03
homotypic cell-cell adhesion (GO:0034109)	7	4	.40	+	10.04	3.18E-04
B cell differentiation (GO:0030183)	4	2	.23	+	8.78	1.80E-02
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	4	2	.23	+	8.78	1.80E-02
positive regulation of myeloid cell differentiation (GO:0045639)	4	2	.23	+	8.78	1.80E-02
tissue homeostasis (GO:0001894)	4	2	.23	+	8.78	1.80E-02
osteoclast differentiation (GO:0030316)	4	2	.23	+	8.78	1.80E-02
anatomical structure homeostasis (GO:0060249)	4	2	.23	+	8.78	1.80E-02
hemostasis (GO:0007599)	9	4	.51	+	7.81	1.04E-03
blood coagulation (GO:0007596)	9	4	.51	+	7.81	1.04E-03
coagulation (GO:0050817)	9	4	.51	+	7.81	1.04E-03
regulation of response to wounding (GO:1903034)	7	3	.40	+	7.53	5.41E-03
calcineurin-mediated signaling (GO:0097720)	7	3	.40	+	7.53	5.41E-03
regulation of wound healing (GO:0061041)	7	3	.40	+	7.53	5.41E-03
ubiquinone biosynthetic process (GO:0006744)	5	2	.28	+	7.02	2.89E-02
regulation of coagulation (GO:0050818)	8	3	.46	+	6.59	8.30E-03
negative regulation of response to external stimulus (GO:0032102)	16	6	.91	+	6.59	1.63E-04
skeletal muscle tissue development (GO:0007519)	14	5	.80	+	6.27	7.68E-04
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	6	2	.34	+	5.85	4.17E-02
regulation of myeloid cell differentiation (GO:0045637)	6	2	.34	+	5.85	4.17E-02
regulation of cell adhesion mediated by integrin (GO:0033628)	6	2	.34	+	5.85	4.17E-02
skeletal muscle organ development (GO:0060538)	16	5	.91	+	5.49	1.52E-03
smoothened signaling pathway (GO:0007224)	18	5	1.02	+	4.88	2.72E-03
positive regulation of cell-cell adhesion (GO:0022409)	11	3	.63	+	4.79	2.15E-02
mismatch repair (GO:0006298)	11	3	.63	+	4.79	2.15E-02
negative regulation of defense response (GO:0031348)	11	3	.63	+	4.79	2.15E-02
regulation of sodium ion transmembrane transporter activity (GO:2000649)	15	4	.85	+	4.68	8.59E-03
regulation of body fluid levels (GO:0050878)	15	4	.85	+	4.68	8.59E-03
wound healing (GO:0042060)	19	5	1.08	+	4.62	3.52E-03
leukocyte differentiation (GO:0002521)	16	4	.91	+	4.39	1.10E-02
muscle organ development (GO:0007517)	20	5	1.14	+	4.39	4.47E-03
cell activation (GO:0001775)	29	7	1.65	+	4.24	9.77E-04
