PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.dxy.50000kb.genenames_filtered.txt (197)	noca.dxy.50000kb.genenames_filtered.txt (expected)	noca.dxy.50000kb.genenames_filtered.txt (over/under)	noca.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
regulation of complement activation (GO:0030449)	1	1	0.02	+	64.63	1.55E-02
morphogenesis of a branching structure (GO:0001763)	1	1	0.02	+	64.63	1.55E-02
macrophage activation (GO:0042116)	2	1	0.03	+	32.31	3.07E-02
cardiolipin biosynthetic process (GO:0032049)	2	1	0.03	+	32.31	3.07E-02
negative regulation of cyclase activity (GO:0031280)	2	1	0.03	+	32.31	3.07E-02
sensory perception of taste (GO:0050909)	2	1	0.03	+	32.31	3.07E-02
negative regulation of adenylate cyclase activity (GO:0007194)	2	1	0.03	+	32.31	3.07E-02
positive regulation of myeloid cell differentiation (GO:0045639)	4	2	0.06	+	32.31	1.40E-03
negative regulation of lyase activity (GO:0051350)	2	1	0.03	+	32.31	3.07E-02
osteoclast differentiation (GO:0030316)	4	2	0.06	+	32.31	1.40E-03
macrophage activation involved in immune response (GO:0002281)	2	1	0.03	+	32.31	3.07E-02
intermembrane lipid transfer (GO:0120009)	2	1	0.03	+	32.31	3.07E-02
regulation of myeloid cell differentiation (GO:0045637)	6	2	0.09	+	21.54	3.43E-03
peripheral nervous system development (GO:0007422)	3	1	0.05	+	21.54	4.57E-02
regulation of cell adhesion mediated by integrin (GO:0033628)	6	2	0.09	+	21.54	3.43E-03
myeloid leukocyte activation (GO:0002274)	3	1	0.05	+	21.54	4.57E-02
negative regulation of innate immune response (GO:0045824)	3	1	0.05	+	21.54	4.57E-02
B cell differentiation (GO:0030183)	4	1	0.06	+	16.16	6.05E-02
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	4	1	0.06	+	16.16	6.05E-02
citrate transport (GO:0015746)	4	1	0.06	+	16.16	6.05E-02
leukocyte activation involved in immune response (GO:0002366)	4	1	0.06	+	16.16	6.05E-02
male meiotic nuclear division (GO:0007140)	4	1	0.06	+	16.16	6.05E-02
positive regulation of growth (GO:0045927)	4	1	0.06	+	16.16	6.05E-02
cell activation involved in immune response (GO:0002263)	4	1	0.06	+	16.16	6.05E-02
"vesicle targeting, to, from or within Golgi (GO:0048199)"	4	1	0.06	+	16.16	6.05E-02
negative regulation of endocytosis (GO:0045806)	4	1	0.06	+	16.16	6.05E-02
regulation of hemopoiesis (GO:1903706)	8	2	0.12	+	16.16	6.27E-03
sensory perception of chemical stimulus (GO:0007606)	4	1	0.06	+	16.16	6.05E-02
