PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.fst.50000kb.genenames_filtered.txt (356)	noca.fst.50000kb.genenames_filtered.txt (expected)	noca.fst.50000kb.genenames_filtered.txt (over/under)	noca.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
retina homeostasis (GO:0001895)	2	1	0.06	+	17.88	5.51E-02
tissue homeostasis (GO:0001894)	4	2	0.11	+	17.88	4.51E-03
anatomical structure homeostasis (GO:0060249)	4	2	0.11	+	17.88	4.51E-03
ubiquinone biosynthetic process (GO:0006744)	5	2	0.14	+	14.31	7.37E-03
skeletal muscle tissue development (GO:0007519)	14	5	0.39	+	12.77	2.70E-05
filopodium assembly (GO:0046847)	3	1	0.08	+	11.92	8.16E-02
positive chemotaxis (GO:0050918)	3	1	0.08	+	11.92	8.16E-02
peripheral nervous system development (GO:0007422)	3	1	0.08	+	11.92	8.16E-02
retinol metabolic process (GO:0042572)	3	1	0.08	+	11.92	8.16E-02
negative regulation of innate immune response (GO:0045824)	3	1	0.08	+	11.92	8.16E-02
skeletal muscle organ development (GO:0060538)	16	5	0.45	+	11.18	5.63E-05
positive regulation of secretion (GO:0051047)	7	2	0.2	+	10.22	1.49E-02
positive regulation of secretion by cell (GO:1903532)	7	2	0.2	+	10.22	1.49E-02
endothelial cell differentiation (GO:0045446)	4	1	0.11	+	8.94	1.07E-01
B cell differentiation (GO:0030183)	4	1	0.11	+	8.94	1.07E-01
muscle organ development (GO:0007517)	20	5	0.56	+	8.94	1.82E-04
citrate transport (GO:0015746)	4	1	0.11	+	8.94	1.07E-01
"mRNA cis splicing, via spliceosome (GO:0045292)"	4	1	0.11	+	8.94	1.07E-01
tricarboxylic acid transport (GO:0006842)	4	1	0.11	+	8.94	1.07E-01
transcription elongation by RNA polymerase II (GO:0006368)	13	3	0.36	+	8.25	5.03E-03
adherens junction organization (GO:0034332)	23	5	0.64	+	7.77	3.69E-04
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	1	0.14	+	7.15	1.32E-01
nucleoside triphosphate catabolic process (GO:0009143)	5	1	0.14	+	7.15	1.32E-01
positive regulation of adenylate cyclase activity (GO:0045762)	5	1	0.14	+	7.15	1.32E-01
regulation of meiotic cell cycle (GO:0051445)	10	2	0.28	+	7.15	3.02E-02
neuromuscular synaptic transmission (GO:0007274)	10	2	0.28	+	7.15	3.02E-02
apoptotic mitochondrial changes (GO:0008637)	10	2	0.28	+	7.15	3.02E-02
DNA-templated transcription elongation (GO:0006354)	16	3	0.45	+	6.71	9.26E-03
regulation of muscle system process (GO:0090257)	11	2	0.31	+	6.5	3.63E-02
regulation of stress fiber assembly (GO:0051492)	6	1	0.17	+	5.96	1.56E-01
regulation of filopodium assembly (GO:0051489)	6	1	0.17	+	5.96	1.56E-01
synaptic membrane adhesion (GO:0099560)	6	1	0.17	+	5.96	1.56E-01
postsynapse organization (GO:0099173)	6	1	0.17	+	5.96	1.56E-01
multicellular organismal-level homeostasis (GO:0048871)	12	2	0.34	+	5.96	4.28E-02
negative regulation of TORC1 signaling (GO:1904262)	6	1	0.17	+	5.96	1.56E-01
membrane assembly (GO:0071709)	12	2	0.34	+	5.96	4.28E-02
Golgi to vacuole transport (GO:0006896)	6	1	0.17	+	5.96	1.56E-01
muscle tissue development (GO:0060537)	31	5	0.87	+	5.77	1.55E-03
negative regulation of nuclear division (GO:0051784)	13	2	0.36	+	5.5	4.96E-02
regulation of adenylate cyclase activity (GO:0045761)	7	1	0.2	+	5.11	1.80E-01
B cell activation (GO:0042113)	7	1	0.2	+	5.11	1.80E-01
positive regulation of epithelial cell proliferation (GO:0050679)	7	1	0.2	+	5.11	1.80E-01
detection of stimulus involved in sensory perception (GO:0050906)	7	1	0.2	+	5.11	1.80E-01
phosphatidylcholine metabolic process (GO:0046470)	7	1	0.2	+	5.11	1.80E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	70	10	1.96	+	5.11	2.30E-05
retinoid metabolic process (GO:0001523)	7	1	0.2	+	5.11	1.80E-01
diterpenoid metabolic process (GO:0016101)	7	1	0.2	+	5.11	1.80E-01
mitotic chromosome condensation (GO:0007076)	7	1	0.2	+	5.11	1.80E-01
melanosome organization (GO:0032438)	7	1	0.2	+	5.11	1.80E-01
regulation of epithelial cell differentiation (GO:0030856)	7	1	0.2	+	5.11	1.80E-01
cell-cell junction organization (GO:0045216)	43	6	1.2	+	4.99	1.17E-03
cell-cell junction assembly (GO:0007043)	37	5	1.03	+	4.83	3.47E-03
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	2	0.42	+	4.77	6.44E-02
cell junction assembly (GO:0034329)	60	8	1.68	+	4.77	2.48E-04
transcription initiation at RNA polymerase II promoter (GO:0006367)	23	3	0.64	+	4.66	2.54E-02
synapse assembly (GO:0007416)	23	3	0.64	+	4.66	2.54E-02
regulation of system process (GO:0044057)	39	5	1.09	+	4.59	4.38E-03
nucleoside triphosphate biosynthetic process (GO:0009142)	8	1	0.22	+	4.47	2.03E-01
