PANTHER.GO.Slim.Biological.Process,background_genelist.full.txt...REFLIST..12431.,nonoverlap.noca_only.csv..440.,nonoverlap.noca_only.csv..expected.,nonoverlap.noca_only.csv..over.under.,nonoverlap.noca_only.csv..fold.Enrichment.,P.value,qvals
platelet aggregation (GO:0070527),5,4,0.18,+,22.6,7.53e-06,0.00782367
protein activation cascade (GO:0072376),5,4,0.18,+,22.6,7.53e-06,0.00782367
negative regulation of blood coagulation (GO:0030195),4,3,0.14,+,21.19,0.000172,0.0397128888888889
platelet activation (GO:0030168),6,4,0.21,+,18.83,2.2e-05,0.0152386666666667
negative regulation of coagulation (GO:0050819),5,3,0.18,+,16.95,0.000418,0.0868604
homotypic cell-cell adhesion (GO:0034109),7,4,0.25,+,16.14,4.98e-05,0.0258711
hemostasis (GO:0007599),9,4,0.32,+,12.56,0.000169,0.0397128888888889
blood coagulation (GO:0007596),9,4,0.32,+,12.56,0.000169,0.0397128888888889
coagulation (GO:0050817),9,4,0.32,+,12.56,0.000169,0.0397128888888889
regulation of response to wounding (GO:1903034),7,3,0.25,+,12.11,0.00139,0.192561333333333
regulation of wound healing (GO:0061041),7,3,0.25,+,12.11,0.00139,0.192561333333333
negative regulation of response to external stimulus (GO:0032102),16,5,0.57,+,8.83,0.000172,0.0397128888888889
regulation of body fluid levels (GO:0050878),14,4,0.5,+,8.07,0.00117,0.18702
adherens junction organization (GO:0034332),23,5,0.81,+,6.14,0.00108,0.18702
cell-cell adhesion (GO:0098609),158,15,5.59,+,2.68,0.000484,0.091432
