PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
regulation of complement activation (GO:0030449)	1	1	0.04	+	28.25	3.54E-02
platelet aggregation (GO:0070527)	5	4	0.18	+	22.6	7.53E-06
protein activation cascade (GO:0072376)	5	4	0.18	+	22.6	7.53E-06
negative regulation of blood coagulation (GO:0030195)	4	3	0.14	+	21.19	1.72E-04
platelet activation (GO:0030168)	6	4	0.21	+	18.83	2.20E-05
negative regulation of coagulation (GO:0050819)	5	3	0.18	+	16.95	4.18E-04
homotypic cell-cell adhesion (GO:0034109)	7	4	0.25	+	16.14	4.98E-05
retina homeostasis (GO:0001895)	2	1	0.07	+	14.13	6.95E-02
hemostasis (GO:0007599)	9	4	0.32	+	12.56	1.69E-04
blood coagulation (GO:0007596)	9	4	0.32	+	12.56	1.69E-04
coagulation (GO:0050817)	9	4	0.32	+	12.56	1.69E-04
regulation of response to wounding (GO:1903034)	7	3	0.25	+	12.11	1.39E-03
regulation of wound healing (GO:0061041)	7	3	0.25	+	12.11	1.39E-03
regulation of coagulation (GO:0050818)	8	3	0.28	+	10.59	2.16E-03
filopodium assembly (GO:0046847)	3	1	0.11	+	9.42	1.02E-01
positive chemotaxis (GO:0050918)	3	1	0.11	+	9.42	1.02E-01
peripheral nervous system development (GO:0007422)	3	1	0.11	+	9.42	1.02E-01
amino sugar catabolic process (GO:0046348)	3	1	0.11	+	9.42	1.02E-01
retinol metabolic process (GO:0042572)	3	1	0.11	+	9.42	1.02E-01
negative regulation of innate immune response (GO:0045824)	3	1	0.11	+	9.42	1.02E-01
negative regulation of response to external stimulus (GO:0032102)	16	5	0.57	+	8.83	1.72E-04
endoderm development (GO:0007492)	7	2	0.25	+	8.07	2.33E-02
regulation of body fluid levels (GO:0050878)	14	4	0.5	+	8.07	1.17E-03
