




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	intersection.owl_noca.csv (Gallus gallus)
Reference List:	background_genelist.full.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.owl_noca.csv (25)	intersection.owl_noca.csv (expected)	intersection.owl_noca.csv (over/under)	intersection.owl_noca.csv (fold Enrichment)	intersection.owl_noca.csv (raw P-value)
regulation of muscle system process (GO:0090257)	9	2	.02	+	 > 100	1.39E-04
synaptic membrane adhesion (GO:0099560)	6	1	.01	+	82.87	1.20E-02
skeletal muscle tissue development (GO:0007519)	13	2	.03	+	76.50	2.99E-04
regulation of epithelial cell differentiation (GO:0030856)	7	1	.01	+	71.03	1.40E-02
skeletal muscle organ development (GO:0060538)	15	2	.03	+	66.30	4.01E-04
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	26	3	.05	+	57.37	1.81E-05
smoothened signaling pathway (GO:0007224)	18	2	.04	+	55.25	5.82E-04
regulation of neuron differentiation (GO:0045664)	9	1	.02	+	55.25	1.80E-02
muscle organ development (GO:0007517)	19	2	.04	+	52.34	6.50E-04
neuromuscular synaptic transmission (GO:0007274)	10	1	.02	+	49.72	1.99E-02
synapse assembly (GO:0007416)	22	2	.04	+	45.20	8.75E-04
synapse organization (GO:0050808)	64	5	.13	+	38.85	1.51E-07
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	70	5	.14	+	35.52	2.38E-07
cell recognition (GO:0008037)	15	1	.03	+	33.15	2.98E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	1	.03	+	33.15	2.98E-02
muscle tissue development (GO:0060537)	30	2	.06	+	33.15	1.63E-03
establishment or maintenance of bipolar cell polarity (GO:0061245)	17	1	.03	+	29.25	3.37E-02
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	17	1	.03	+	29.25	3.37E-02
establishment or maintenance of apical/basal cell polarity (GO:0035088)	17	1	.03	+	29.25	3.37E-02
muscle cell development (GO:0055001)	35	2	.07	+	28.41	2.22E-03
