




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	pyrr.all.genenames_filtered.txt (Gallus gallus)
Reference List:	background_genelist.full.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.all.genenames_filtered.txt (1113)	pyrr.all.genenames_filtered.txt (expected)	pyrr.all.genenames_filtered.txt (over/under)	pyrr.all.genenames_filtered.txt (fold Enrichment)	pyrr.all.genenames_filtered.txt (raw P-value)
secretory granule organization (GO:0033363)	2	2	.17	+	11.44	7.64E-03
regeneration (GO:0031099)	2	2	.17	+	11.44	7.64E-03
tissue regeneration (GO:0042246)	2	2	.17	+	11.44	7.64E-03
myeloid leukocyte activation (GO:0002274)	3	2	.26	+	7.63	2.16E-02
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	3	.44	+	6.86	5.82E-03
rRNA base methylation (GO:0070475)	5	3	.44	+	6.86	5.82E-03
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	3	.44	+	6.86	5.82E-03
regulation of phosphatase activity (GO:0010921)	6	3	.52	+	5.72	1.09E-02
positive regulation of myeloid cell differentiation (GO:0045639)	4	2	.35	+	5.72	4.07E-02
regulation of centrosome duplication (GO:0010824)	6	3	.52	+	5.72	1.09E-02
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	2	.35	+	5.72	4.07E-02
negative regulation of DNA recombination (GO:0045910)	6	3	.52	+	5.72	1.09E-02
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	2	.35	+	5.72	4.07E-02
regulation of centrosome cycle (GO:0046605)	6	3	.52	+	5.72	1.09E-02
intraciliary retrograde transport (GO:0035721)	6	3	.52	+	5.72	1.09E-02
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	6	3	.52	+	5.72	1.09E-02
negative regulation of DNA repair (GO:0045738)	7	3	.61	+	4.90	1.78E-02
regulation of double-strand break repair via homologous recombination (GO:0010569)	7	3	.61	+	4.90	1.78E-02
regulation of DNA recombination (GO:0000018)	7	3	.61	+	4.90	1.78E-02
negative regulation of double-strand break repair (GO:2000780)	7	3	.61	+	4.90	1.78E-02
regulation of meiotic cell cycle (GO:0051445)	10	4	.87	+	4.58	7.94E-03
neuromuscular synaptic transmission (GO:0007274)	10	4	.87	+	4.58	7.94E-03
neuron migration (GO:0001764)	10	4	.87	+	4.58	7.94E-03
negative regulation of nuclear division (GO:0051784)	13	5	1.14	+	4.40	3.58E-03
ribosomal subunit export from nucleus (GO:0000054)	8	3	.70	+	4.29	2.67E-02
positive regulation of cell-substrate adhesion (GO:0010811)	11	4	.96	+	4.16	1.16E-02
regulation of muscle system process (GO:0090257)	11	4	.96	+	4.16	1.16E-02
proton transmembrane transport (GO:1902600)	14	5	1.22	+	4.09	5.18E-03
vitamin transport (GO:0051180)	12	4	1.05	+	3.81	1.62E-02
regulation of dephosphorylation (GO:0035303)	9	3	.79	+	3.81	3.75E-02
aromatic amino acid family catabolic process (GO:0009074)	9	3	.79	+	3.81	3.75E-02
cell population proliferation (GO:0008283)	9	3	.79	+	3.81	3.75E-02
metaphase chromosome alignment (GO:0051310)	9	3	.79	+	3.81	3.75E-02
regulation of double-strand break repair (GO:2000779)	9	3	.79	+	3.81	3.75E-02
dendrite development (GO:0016358)	9	3	.79	+	3.81	3.75E-02
cell recognition (GO:0008037)	16	5	1.40	+	3.57	9.75E-03
chromosome localization (GO:0050000)	13	4	1.14	+	3.52	2.19E-02
establishment of chromosome localization (GO:0051303)	13	4	1.14	+	3.52	2.19E-02
regulation of cell-substrate adhesion (GO:0010810)	13	4	1.14	+	3.52	2.19E-02
