PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
mitotic sister chromatid separation (GO:0051306)	1	1	0.01	+	68.09	1.47E-02
leucine transport (GO:0015820)	1	1	0.01	+	68.09	1.47E-02
branched-chain amino acid transport (GO:0015803)	1	1	0.01	+	68.09	1.47E-02
macrophage activation (GO:0042116)	2	1	0.03	+	34.04	2.92E-02
sensory perception of taste (GO:0050909)	2	1	0.03	+	34.04	2.92E-02
positive regulation of myeloid cell differentiation (GO:0045639)	4	2	0.06	+	34.04	1.26E-03
left/right pattern formation (GO:0060972)	2	1	0.03	+	34.04	2.92E-02
macrophage activation involved in immune response (GO:0002281)	2	1	0.03	+	34.04	2.92E-02
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	1	0.03	+	34.04	2.92E-02
determination of left/right symmetry (GO:0007368)	2	1	0.03	+	34.04	2.92E-02
intermembrane lipid transfer (GO:0120009)	2	1	0.03	+	34.04	2.92E-02
alanine transport (GO:0032328)	3	1	0.04	+	22.7	4.34E-02
regulation of myeloid cell differentiation (GO:0045637)	6	2	0.09	+	22.7	3.10E-03
chromosome separation (GO:0051304)	3	1	0.04	+	22.7	4.34E-02
regulation of cell adhesion mediated by integrin (GO:0033628)	6	2	0.09	+	22.7	3.10E-03
myeloid leukocyte activation (GO:0002274)	3	1	0.04	+	22.7	4.34E-02
glycine transport (GO:0015816)	3	1	0.04	+	22.7	4.34E-02
glucose transmembrane transport (GO:1904659)	7	2	0.1	+	19.45	4.29E-03
B cell differentiation (GO:0030183)	4	1	0.06	+	17.02	5.75E-02
leukocyte activation involved in immune response (GO:0002366)	4	1	0.06	+	17.02	5.75E-02
positive regulation of growth (GO:0045927)	4	1	0.06	+	17.02	5.75E-02
cell activation involved in immune response (GO:0002263)	4	1	0.06	+	17.02	5.75E-02
negative regulation of endocytosis (GO:0045806)	4	1	0.06	+	17.02	5.75E-02
regulation of hemopoiesis (GO:1903706)	8	2	0.12	+	17.02	5.67E-03
sensory perception of chemical stimulus (GO:0007606)	4	1	0.06	+	17.02	5.75E-02
inner dynein arm assembly (GO:0036159)	4	1	0.06	+	17.02	5.75E-02
regulation of neuron differentiation (GO:0045664)	9	2	0.13	+	15.13	7.22E-03
regulation of sodium ion transmembrane transporter activity (GO:2000649)	15	3	0.22	+	13.62	1.25E-03
carbohydrate transmembrane transport (GO:0034219)	10	2	0.15	+	13.62	8.94E-03
neuromuscular synaptic transmission (GO:0007274)	10	2	0.15	+	13.62	8.94E-03
carbohydrate transport (GO:0008643)	10	2	0.15	+	13.62	8.94E-03
"post-translational protein targeting to membrane, translocation (GO:0031204)"	5	1	0.07	+	13.62	7.13E-02
cell recognition (GO:0008037)	16	3	0.23	+	12.77	1.52E-03
