PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.fst.50000kb.genenames_filtered.txt (357)	pyrr.fst.50000kb.genenames_filtered.txt (expected)	pyrr.fst.50000kb.genenames_filtered.txt (over/under)	pyrr.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
secretory granule organization (GO:0033363)	2	2	0.06	+	35.66	7.84E-04
regeneration (GO:0031099)	2	2	0.06	+	35.66	7.84E-04
tissue regeneration (GO:0042246)	2	2	0.06	+	35.66	7.84E-04
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	3	0.14	+	21.4	2.10E-04
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	3	0.14	+	21.4	2.10E-04
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	1	0.06	+	17.83	5.53E-02
lymphocyte mediated immunity (GO:0002449)	2	1	0.06	+	17.83	5.53E-02
leukocyte mediated immunity (GO:0002443)	2	1	0.06	+	17.83	5.53E-02
response to interleukin-1 (GO:0070555)	2	1	0.06	+	17.83	5.53E-02
oligopeptide transmembrane transport (GO:0035672)	2	1	0.06	+	17.83	5.53E-02
regulation of phosphatase activity (GO:0010921)	6	3	0.17	+	17.83	4.11E-04
digestion (GO:0007586)	2	1	0.06	+	17.83	5.53E-02
dipeptide transport (GO:0042938)	2	1	0.06	+	17.83	5.53E-02
immunoglobulin mediated immune response (GO:0016064)	2	1	0.06	+	17.83	5.53E-02
oligopeptide transport (GO:0006857)	2	1	0.06	+	17.83	5.53E-02
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	2	0.14	+	14.27	7.41E-03
mitotic metaphase chromosome alignment (GO:0007080)	5	2	0.14	+	14.27	7.41E-03
regulation of dephosphorylation (GO:0035303)	9	3	0.25	+	11.89	1.62E-03
syncytium formation by plasma membrane fusion (GO:0000768)	3	1	0.08	+	11.89	8.18E-02
negative regulation of DNA recombination (GO:0045910)	6	2	0.17	+	11.89	1.09E-02
syncytium formation (GO:0006949)	3	1	0.08	+	11.89	8.18E-02
cell-cell fusion (GO:0140253)	3	1	0.08	+	11.89	8.18E-02
negative regulation of innate immune response (GO:0045824)	3	1	0.08	+	11.89	8.18E-02
intraciliary retrograde transport (GO:0035721)	6	2	0.17	+	11.89	1.09E-02
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	6	2	0.17	+	11.89	1.09E-02
negative regulation of DNA repair (GO:0045738)	7	2	0.2	+	10.19	1.50E-02
attachment of spindle microtubules to kinetochore (GO:0008608)	7	2	0.2	+	10.19	1.50E-02
regulation of double-strand break repair via homologous recombination (GO:0010569)	7	2	0.2	+	10.19	1.50E-02
developmental growth (GO:0048589)	7	2	0.2	+	10.19	1.50E-02
regulation of DNA recombination (GO:0000018)	7	2	0.2	+	10.19	1.50E-02
negative regulation of double-strand break repair (GO:2000780)	7	2	0.2	+	10.19	1.50E-02
growth (GO:0040007)	7	2	0.2	+	10.19	1.50E-02
endothelial cell differentiation (GO:0045446)	4	1	0.11	+	8.92	1.08E-01
endothelial cell migration (GO:0043542)	4	1	0.11	+	8.92	1.08E-01
