Genes,Interpretation,snpeff,GO_Term
ANKIB1,Nitrogen metaboism,0,"GO:0006807, GO:0071704, GO:0044238"
ARIH1,Nitrogen metaboism,0,"GO:0006807, GO:0071704, GO:0044238"
CTSO,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238"
LOXL4,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238"
MAN1A2,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238"
RNF13,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238"
SENP2,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238"
CHEK1,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238, GO:0044237"
DYRK1A,Nitrogen metaboism,0,"GO:0006807, GO:0071704, GO:0044238, GO:0044237"
PPP2R3B,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238, GO:0044237"
PRKCH,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238, GO:0044237"
FUT8,Nitrogen metaboism,0,"GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:1901576, GO:0009058, GO:0044249"
BABAM2,Nitrogen metaboism,0,"GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641"
ENTPD1,Nitrogen metaboism,0,"GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641"
MTA1,Nitrogen metaboism,0,"GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641"
NOC3L,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641"
TDO2,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641"
KYNU,Nitrogen metaboism,1,"GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0046483, GO:0006725, GO:1901360, GO:0034641"
ABI2,Nervous system,1,GO:0007399
ERBB4,Nervous system,0,GO:0007399
GPM6A,Nervous system,0,GO:0007399
IGF2BP2,Nervous system,1,GO:0007399
KIRREL3,Nervous system,0,GO:0007399
NAV2,Nervous system,1,GO:0007399
NLGN3,Nervous system,1,GO:0007399
NTN4,Nervous system,1,GO:0007399
NYAP2,Nervous system,1,GO:0007399
RBFOX1,Nervous system,0,GO:0007399
RUNX2,Nervous system,0,GO:0007399
SEMA6D,Nervous system,0,GO:0007399
SLIT3,Nervous system,0,GO:0007399
TENM3,Nervous system,0,GO:0007399
TRAK1,Nervous system,1,GO:0007399
WNT16,Nervous system,1,GO:0007399
DMD,Nervous system,0,GO:0007399
SDK1,Nervous system,1,GO:0007399
EPHA10,Nitrogen metaboism,1,"GO:0007399, GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237"
