Gene function,Gene,Chromosome,snpeff,Species,"FST, RAiSD",FST,RAiSD,
"Cell morphogenesis (NOCA), nitrogen metabolism (both)",EPHA10,23,1,Both,,1,,
"Gene expression (both), Nitrogen metabolism (PYRR)",CDKAL1,2,1,Both,,1,1,https://pubmed.ncbi.nlm.nih.gov/25785549/
"Muscle function (NOCA), Nervous system (PYRR)",DMD,1,1,Both,1,1,,
Nitrogen metabolism,CHEK1,24,1,Both,,1,,
Nitrogen metabolism,STT3A,24,1,Both,,1,,
"Tissue structure, cell adhesion, cell morphogenesis (NOCA); Nervous system (PYRR)",SLIT3,13,1,Both,,1,,
"Tissue structure, cell adhesion, cell morphogenesis (NOCA); Nervous system (PYRR)",SDK1,14,1,Both,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis (NOCA); Nervous system (PYRR)",NLGN3,4A,1,Both,1,1,,
"Blood physiology, coagulation",FGA,4,0,Northern cardinals,1,,1,
"Blood physiology, coagulation",FGB,4,0,Northern cardinals,1,,1,
Calcineurin-mediated signaling,NFATC1,2,0,Northern cardinals,,,1,
Calcineurin-mediated signaling,PPP3R1,3,0,Northern cardinals,,,1,
Calcineurin-mediated signaling,PPP3CA,4,0,Northern cardinals,,,1,
"Cell morphogenesis, nitrogen metabolism",EPHB2,21,0,Northern cardinals,,1,,
Cell-cell signaling,BCL9,1,1,Northern cardinals,,1,,
Cell-cell signaling,FCHSD2,1,1,Northern cardinals,,1,,
Cell-cell signaling,GJA5,1,1,Northern cardinals,,1,,
Cell-cell signaling,GLRB,4,0,Northern cardinals,,1,,
Cell-cell signaling,GRIA2,4,0,Northern cardinals,,1,,
Cell-cell signaling,GRID1,6,0,Northern cardinals,,1,,
Cell-cell signaling,HTR7,6,1,Northern cardinals,,1,,
Cell-cell signaling,LRP2,7,1,Northern cardinals,,1,,
Cell-cell signaling,GNAI2,12,0,Northern cardinals,,1,,
Cell-cell signaling,SYN2,12,1,Northern cardinals,,1,,
Cell-cell signaling,GJB1,4A,1,Northern cardinals,,1,,
Gene expression,DTD1,3,0,Northern cardinals,,,1,
Gene expression,TRMT61B,3,0,Northern cardinals,,,1,
Gene expression,GATB,4,0,Northern cardinals,,,1,
Gene expression,TRMT9B,4,0,Northern cardinals,,,1,
Gene expression,TSEN2,12,0,Northern cardinals,,,1,
Mismatch repair,MSH2,3,0,Northern cardinals,,,1,
Mismatch repair,MSH6,3,0,Northern cardinals,,,1,
Muscle function,SGCZ,4,0,Northern cardinals,1,,,
Muscle function,MYF5,1A,1,Northern cardinals,1,1,,
Muscle function,MYF6,1A,1,Northern cardinals,1,1,,
Nitrogen metabolism,MRPL57,1,1,Northern cardinals,,1,,
Nitrogen metabolism,ZDHHC20,1,1,Northern cardinals,,1,,
Nitrogen metabolism,ENPP2,2,1,Northern cardinals,,1,,
Nitrogen metabolism,FBXO32,2,1,Northern cardinals,,1,,
Nitrogen metabolism,HECW1,2,0,Northern cardinals,,1,,
Nitrogen metabolism,TG,2,1,Northern cardinals,,1,,
Nitrogen metabolism,MAP4K3,3,0,Northern cardinals,,1,,
Nitrogen metabolism,RPS6KA2,3,0,Northern cardinals,,1,,
Nitrogen metabolism,SRBD1,3,1,Northern cardinals,,1,,
Nitrogen metabolism,TRIM2,4,0,Northern cardinals,,1,,
Nitrogen metabolism,EIF2AK4,5,1,Northern cardinals,,1,,
Nitrogen metabolism,GSTZ1,5,1,Northern cardinals,,1,,
Nitrogen metabolism,VRK1,5,1,Northern cardinals,,1,,
Nitrogen metabolism,ANKZF1,7,1,Northern cardinals,,1,,
Nitrogen metabolism,CERS6,7,1,Northern cardinals,,1,,
Nitrogen metabolism,CHPF,7,1,Northern cardinals,,1,,
Nitrogen metabolism,PSMD14,7,0,Northern cardinals,,1,,
Nitrogen metabolism,AK4,8,1,Northern cardinals,,1,,
Nitrogen metabolism,AGBL1,10,0,Northern cardinals,,1,,
Nitrogen metabolism,DPY19L3,11,1,Northern cardinals,,1,,
Nitrogen metabolism,EEFSEC,12,0,Northern cardinals,,1,,
Nitrogen metabolism,MGAT5B,18,0,Northern cardinals,,1,,
Response to external stimulus,SUSD4,3,0,Northern cardinals,1,,1,
Response to external stimulus,TLR5,3,0,Northern cardinals,,,1,
Response to external stimulus,PPARG,12,0,Northern cardinals,1,,1,
"Response to external stimulus (NOCA), Nitrogen metaboism (PYRR)",CACTIN,28,1,Both,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",DCHS1,1,1,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",FRY,1,0,Northern cardinals,,1,,
"Tissue structure, cell adhesion, cell morphogenesis",SLITRK1,1,1,Northern cardinals,,1,,
"Tissue structure, cell adhesion, cell morphogenesis",CDH18,2,1,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",CDH20,2,0,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",CDH9,2,1,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",ITGA9,2,0,Northern cardinals,1,,,
"Tissue structure, cell adhesion, cell morphogenesis",TRIO,2,1,Northern cardinals,,1,,
"Tissue structure, cell adhesion, cell morphogenesis",ATRN,4,1,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",CLDN23,4,0,Northern cardinals,1,,,
"Tissue structure, cell adhesion, cell morphogenesis",UNC5C,4,0,Northern cardinals,,1,,
"Tissue structure, cell adhesion, cell morphogenesis",PCDH15,6,1,Northern cardinals,1,,,
"Tissue structure, cell adhesion, cell morphogenesis",MEGF11,10,1,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",CDH11,11,1,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",CNTN4,12,1,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",ERC2,12,1,Northern cardinals,,1,,
"Tissue structure, cell adhesion, cell morphogenesis",CDON,24,0,Northern cardinals,1,1,,
"Tissue structure, cell adhesion, cell morphogenesis",TJP3,28,0,Northern cardinals,,1,,
Gene expression,METTL16,1,0,Pyrrhuloxia,,,1,
Gene expression,QTRT2,1,0,Pyrrhuloxia,,,1,
Gene expression,MTO1,3,0,Pyrrhuloxia,,,1,
Gene expression,THADA,3,0,Pyrrhuloxia,,,1,
